"Tokens"

    /PWA Vote
	"SFUI_Vote_TeamDamage_PWA" "Enable Team Damage?"
	"SFUI_Vote_TeamDamage_Pass_PWA" "Votes through!<font color='#FF0000'>to turn on teammates damage</font>
	
	"SFUI_Vote_KnifeRund_PWA" "Enable Spell Edge?"
	"SFUI_OP" "Playback god"
	"SFUI_Vote_KnifeRund_Pass_PWA" "Voting through!<font color='#00FF00'>to turn on spellers</font>
	
	"SFUI_Vote_SwapCamp_PWA" "Do you want to swap with your opponent?"
	"SFUI_Vote_SwapCamp_Passed_PWA" "Voting through!<font color='#00FF00'>to exchange</font>
	
	"SNUI_Vote_OverTime_PWA" "Do you want to run the time match?"
	"SFUI_Vote_OverTime_Passed_PWA" "Vote through!<font color='#00FF00'>to open the timeplay</font>"
	
	"SFUI_Vote_Unpause_PWA" "Unpause?"
	"SFUI_Vote_Unpause_Passed_PWA" "Voting through!<font color='#00FF00'>unpause</font>"
	
	"SFUI_Vote_Surrender_PWA" "Surrender?<br>(<font color='#00FF00'>needs the full team of players to agree to</font>)"
	"SFUI_Vote_Surrender_Passed_PWA" "Voted!<font color='#00FF00'>you have returned</font>

	"CFG_MAP_Dust2" "Hot City II\n \n \n \n"
	"CFG_MAP_Mirage" "Desert Campus\n \n \n \n"
	"CFG_MAP_Inferno" "Refinery\n \n \n \n"
	"CFG_MAP_Ancient" "Ancient\n \n \n \n"
	"CFG_MAP_Vertigo" "Defeating Mansion\n \n \n \n"
	"CFG_MAP_Nuke" "Nuclear Crisis\n \n \n \n"
	"CFG_MAP_Anubis" "Anubis\n \n \n \n"

	"CFG_TEAM_CT" "CTP\n Anti-Terrorist Elite\n \n \n"
	"CFG_TEAM_T" "Trait\n terrorist\n \n \n"

	"CFG_Function_LstMenu" "Go back to top\n \n \n \n"
	"CFG_Function_IsLstMenu" "is the first level\n \n \n \n"
	"CFG_Function_PrePage" "Previous page\n \n \n \n"
	"CFG_Function_NxtPage" "Next page\n \n \n \n"
	"CFG_Function_WheelPrePage" "Scroll down\nto switch the previous \n \n \n"
	"CFG_Function_WheelNxtPage" "Scroll up\nto switch next page \n \n \n"
	"CFG_Function_IsPrePage" "Already on first page\n \n \n \n"
	"CFG_Function_IsNxtPage" is the last page\n \n \n \n
	
	"CFG_Noun_SPos1" "Birth 1\n \n \n \n"
	"CFG_Noun_SPos2" "Birth 2\n \n \n \n"
	"CFG_Noun_SPos3" "Birth 3\n \n \n \n"
	"CFG_Noun_SPos4" "Birth 4\n \n \n \n"
	"CFG_Noun_SPos5" "Birth 5\n \n \n \n"
	"CFG_Noun_SPos6" "Birth position 6\n \n \n \n"
	"CFG_Noun_SPos7" "Birth 7\n \n \n \n"
	"CFG_Noun_SPos8" "Birth 8\n \n \n \n"
	"CFG_Noun_SPos9" "Birth 9\n \n \n \n"
	"CFG_Noun_SPos10" "Birth position 10\n \n \n \n"
	"CFG_Noun_SPos11" "Birth 11\n \n \n \n"
	"CFG_Noun_SPos12" "Birth position 12\n \n \n \n"
	"CFG_Noun_SPos13" "Birth position 13\n \n \n \n"
	"CFG_Noun_SPos14" "Birth 14\n \n \n \n"
	"CFG_Noun_SPos15" "Birth position 15\n \n \n \n"
	"CFG_Noun_GreMenu" "Attribute Menu\n \n \n \n"
	"CFG_Noun_CustomGreu" "Custom Doc\n \n \n \n"
	"CFG_Noun_Settings" "CFG Settings\n \n \n \n"
	"CFG_Noun_FastShiftMenu" "Fast Static Menu\n \n \n \n"
	"CFG_Noun_BugFlash Total" "BUG Flash List\n \n \n \n"
	
	"CFG_Settings_View" "Export current CFG settings to console\n \n \n \n"
	"CFG_Settings_CleareEcho" "Clear console\n \n \n \n"
	"CFG_Settings_ChangeOutput_None" "Text output set to close\n \n \n \n"
	"CFG_Settings_ChangeOutput_Echo" "Export text to\n \n \n \n"
	"CFG_Settings_ChangeOutput_Team" "Export text to team chat\n \n \n \n"
	"CFG_Settings_ChangeOutput_All" "Export Text to Global Chat\n \n \n \n"
	"CFG_Settings_CFGGuide" "View CFG Tutorial\n \n \n \n"
	"CFG_Settings_RegetConvar" "Get personal settings \nfor example hearts\n \n \n"

	"CFG_Addon_DuckJump_On" "Enable jump key to jump\n \n \n \n"
	"CFG_Addon_DuckJump_Off" "Close jump key jump\n \n \n \n"
	
	"CFG_Addon_WheelJump_On" "Enable wheel to jump to\n \n \n \n"
	"CFG_Addon_WheelJump_Only" "Enable wheel jumping to enhance\n \n \n \n"
	"CFG_Addon_WheelJump_Off" "Close wheel to boost\n \n \n \n"


	"CFG_Addon_IMStop_Full" "Turn on to rush CFG\n \n \n \n"
	"CFG_Addon_IMStop_WC" "Turn on Push CFG\n \n \n \n"
	"CFG_Addon_IMStop_SnapTap" "Start CFG\n \n \n \n"
	"CFG_Addon_IMStop_DB" "Turn only double keys on CFG\n \n \n \n"
	"CFG_Addon_IMStop_Old" "Turn on the old rush CFG\n \n \n \n"
	"CFG_Addon_IMStop_OnlyWS" "Enable only WS to pause CFG\n \n \n \n"
	"CFG_Addon_IMStop_None" "Stop CFG\n \n \n \n"

	"CFG_Addon_FastShift_None" "Restore normal static step\n \n \n \n"
	"CFG_Addon_FastShift_AWP" "Enable WP Static\n \n \n \n"
	"CFG_Addon_FastShift_Negev" "Enable Negev Fast Static\n \n \n \n"
	"CFG_Addon_FastShift_M4" "Enable police rifle stationary\n \n \n \n"
	"CFG_Addon_FastShift_AK" "Enable Binb Rifle Static\n \n \n \n"

	"CFG_Addon_AttackDefere_On" "Enable\nUnpacking \n \n \n"
	"CFG_Addon_AttackDeDefuse_Off"                    "关闭\n拆包时开火自动取消拆包 \n \n \n"

	"CFG_Addon_GyroscopeTotal" "Grand Duck Menu\n \n \n \n"
	"CFG_Addon_Gyroscope_On_Fast" "Turn on Fast Guy\n \n \n \n"
	"CFG_Addon_Gyroscope_On_Slow" "Enable Slow DR\n \n \n \n"
	"CFG_Addon_Gyroscope_Only" "Enable Keys only Ronald\n \n \n \n"
	"CFG_Addon_Gyroscope_Off" "Close Dream\n \n \n \n"

	"CFG_Addon_Fast_Shoot_On" "Shoot\n \n \n \n"
	"CFG_Addon_Fast_Shoot_Off" "Turn off Pistols to shoot\n \n \n \n"

	"CFG_Addon_Bhop_On" "Enable long pressing space to jump\n \n \n \n"
	"CFG_Addon_Bhop_Off" "Close long pressing space to jump\n \n \n \n"

	"CFG_Addon_Recol_On" "Turn on heart following\n \n \n \n"
	"CFG_Addon_Recol_Only" "Running only to open\n \n \n \n"
	"CFG_Addon_Recol_Off" "Close heart following\n \n \n \n"

	"CFG_Addon_RecoilFastRev_On" "Enable Fast Back\n \n \n \n"
	"CFG_Addon_RecoilFastRev_Off" "Close Fast Back\n \n \n \n"

	"CFG_Addon_DoubleCrossHair_On" "Turn on\n \n \n \n"
	"CFG_Addon_DoubleCrossHair_Off" "Close Double Heart\n \n \n \n"
	
	"CFG_Addon_FadeRecol_On" "Turn on to show\n \n \n \n"
	"CFG_Addon_FadeRecol_Off" "Shows\n \n \n \n"

	"CFG_Addon_PracticeTotal" "Root Utility Menu\n \n \n \n"
	"CFG_Addon_Practice_Fadenade" "Clear all projectiles\n \n \n \n"
	"CFG_Addon_Practice_savePos" "Save current point\n \n \n \n"
	"CFG_Addon_Practice_loadPos" "Back to Saved Point\n \n \n \n"
	"CFG_Addon_Practice_enabletp" "Enable Aim Transfer to Site\n \n \n \n"
	"CFG_Addon_Practice_disabletp" "Disables the transfer of the object to site\n \n \n \n"
	"CFG_Addon_Practice_changeKnife" "Flash Menu\n \n \n \n"
	"CFG_Addon_Practice_changeCam" "Perspective Menu\n \n \n \n"
	"CFG_Addon_Practice_tpSpawn" "Birth Menu\n \n \n \n"
	"CFG_Addon_Practice_rethrow" "Repeat thread\n \n \n \n"
	"CFG_Addon_Practice_pracMode"                    "一键进入跑图模式\n \n \n \n"
	"CFG_Addon_Practice_botplace" "Place Bot\n \n \n \n"
	"CFG_Addon_Practice_botcboost" "Double-click (squatting)\n \n \n \n"
	"CFG_Addon_Practice_botboost" "Two clocks (standing up)\n \n \n \n"
	"CFG_Addon_Practice_botadd" "Add Bot\n \n \n \n"
	"CFG_Addon_Practice_botrmv" "Remove Bot\n \n \n \n"

	"CFG_Addon_PracticeHint_Fadenaded" "All throwing has been cleared"
	"CFG_Addon_PracticeHint_savedPos" "Save Current Position"
	"CFG_Addon_PracticeHint_loadedPos" "Returned to Saved Position"
	"CFG_Addon_PracticeHint_rethrow" "Repeated"
	"CFG_Addon_PracticeHint_practiMode" "Running Chart Mode"
	"CFG_Addon_PracticeHint_botrmv" "Removed Bot"
	"CFG_Addon_PracticeHint_botadd" "Added Bot"
	"CFG_Addon_PracticeHint_botplace" "Placed Bot"
	"CFG_Addon_PracticeHint_botboost" "Executed Two Framework"
	"CFG_Addon_PracticeHint_enabletp" "Automatically teleport to the site when the object is enabled
	"CFG_Addon_PracticeHint_disabletp" "Automatically teleport to the site when disabled"

	"CFG_Addon_PracticeMap_dust2" "1. ⭐ High Heat City II⭐\nlong press left✔️ top wheel rolled down by Scroll Short Right Keys to Close"
	"CFG_Addon_PracticeMap_mirage" "2. ⭐Desert Camp: star:\nlong left button: check_mark: top wheel rolled down by boredog before the right mouse wheel closing"
	"CFG_Addon_PracticeMap_inferno" "3. ⭐Refinery Town: star:\nLong left button: check_mark: upwheelbarrel down Spectrum Scroll Off Right Keys"
	"CFG_Addon_PracticeMap_ancient" "4. ⭐ancient monument ⭐\nlong press left✔️ top wheel scroll down by Spectrum right click to close"
	"CFG_Addon_PracticeMap_nuke" "5. ⭐nuclear crisis: star:\nlong left button: check_mark: top wheel roller drops down to the right mouse button to close"
	"CFG_Addon_PracticeMap_vertigo" "6. ⭐Deadly House ⭐\nlong left button: check_mark: top wheel roller down the root of the Scroll Bottomer right click to close"
	"CFG_Addon_PracticeMap_anubis" "7. ⭐Anubis⭐\nlong left button: check_mark: top wheel scrolls down the Spectrum right click to close"
	"CFG_Addon_PracticeMap_overpass" "8. ⭐ Dead Playorn Park⭐\nLongpress left ✔️ up-wheel rolling drops the right mouse button to close"
	"CFG_Addon_PracticeMap_mills" "9. ⭐Weather mill ⭐\nlong left button: check_mark: top wheel rolled down by Speck_mark"
	"CFG_Addon_PracticeMap_thera" "10. ⭐ Holiday Sila⭐\nlong left button: check_mark: top wheel rolled down by the Scroll Scroll Short Right button"
	"CFG_Addon_PracticeMap_itary" "11. ⭐ Italian small town: star:\nlong left button: check_mark: top wheel scrolled down by boredog power button closing"
	"CFG_Addon_PracticeMap_office" "12. ⭐Office ⭐\nLong press left✔️ upwheel Scroll Short Short Short Short Scroll Scroll
	"CFG_Addon_PracticeMap_shoots" "13. ⭐Hillin Z⭐\nlong left button: check_mark: top wheel rolled down by Spectrum right click to close"
	"CFG_Addon_PracticeMap_pool_day" "14. ⭐pool day⭐\nlong press left✔️ top wheel scrolls down the credit array's right click to close"
	"CFG_Addon_PracticeMap_pagage" "15. ⭐ Luggage repository: star:\nlong left button: check_mark: top wheel rolled down by RPG to close"
	"CFG_Addon_PracticeMap_memento" "16. ⭐weddingh⭐\nlong left button: check_mark: top wheel rolled down by the Scroll Scroll Short Right Keys"
	"CFG_Addon_PracticeMap_assembly" "17. ⭐assembly workshop⭐\nlong left button: check_mark: top wheel roller drops the right button to close"

	"CFG_Addon_PracticeKnife_bayonet" "1. ⭐knife ⭐\nlong press left✔️ upwheelbarre Scroll Spectrum Scroll off right mouse wheel"
	"CFG_Addon_PracticeKnife_class" "2. ⭐Seal Short Knife ⭐\nLong press left✔️ top wheel on top of the roller drops down to the right mouse button to close"
	"CFG_Addon_PracticeKnife_flip" "3. ⭐folding knife ⭐\nlong press left✔️ up-wheel rolling drops to the right mouse button to close"
	"CFG_Addon_PracticeKnife_gut" "4. ⭐intestinal knife⭐\nLong press left✔️ top wheel scrolled down by boredoors with the right click to close"
	"CFG_Addon_PracticeKnife_karambit" "5.⭐claw⭐\nLong press leftke✔️ top wheel barrel before the Scroll Scroll Scroll Scroll
	"CFG_Addon_PracticeKnife_m9" "6. ⭐M9 knife ⭐\nlong left button: check_mark: top wheel scrolls down the Spectrum right click to close"
	"CFG_Addon_PracticeKnife_huntsman" "7. ⭐Hunter kagger ⭐\nlong left button: check_mark: top wheel rolled down by the boredog with the right click to close"
	"CFG_Addon_PracticeKnife_falchion" "8. ⭐blender⭐\nlong press left✔️ upwheelbarre Scroll Short Short Short Scroll
